startDate,endDate,title,description,source,type,region,
1871,,15th Amendment,The 15th Amendment of the Constitution provides African-American males with the right to vote.,http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/presentations/immigration/timeline.html#1880,US Law,United States,
1870,,Rise of the Ocean Liner,"By 1870, a number of inventions, such as the screw propeller, the compound engine, and the triple-expansion engine made trans-oceanic shipping on a large scale economically viable. The size of ocean liners increased from 1880 to meet the needs of immigration to the United States and Australia.",http://en.wikipedia.org/wiki/Steamship,"Invention, Event",All,
1899,1902,Philippine–American War,The conflict arose from the struggle of the First Philippine Republic to secure independence from the United States following the latter's acquisition of the Philippines from Spain after the Spanish–American War. The war was a continuation of the Philippine struggle for independence that began in 1896 with the Philippine Revolution.,http://en.wikipedia.org/wiki/Philippine%E2%80%93American_War,War,"US, Phillippines",
1875,,Page Act of 1875,"Also known as the Asian Exclusion Act. The first restrictive federal immigration law and prohibited the entry of immigrants considered ""undesirable."" The law classified as ""undesirable"" any individual from Asia who was coming to America to be a forced laborer, any Asian woman who would engage in prostitution, and all people considered to be convicts in their own country.",http://en.wikipedia.org/wiki/Page_Act_of_1875,US Law,Asia,
1879,1930,The Industrial Revolution,"Between 1880 and 1930, over 27 million new immigrants arrived, mainly from Italy, Germany, Eastern Europe, Russia, Britain, Canada, Ireland, and Sweden. This peak immigration period—the last large-scale immigration wave prior to the current period—also led to new restrictions.",http://www.migrationpolicy.org/article/immigration-united-states-new-economic-social-political-landscapes-legislative-reform,Economic,Western Europe,
1880,,Italian Exodus,"Italy’s troubled economy, crop failures, and political climate begin the start of mass immigration with nearly four million Italian immigrants arriving in the United States.",,Economic,,
1881,,Assassination of Czar Alexander II in Russia,The assassination of Czar Alexander II in 1881 prompts civil unrest and economic instability throughout Russia.,,War,,
1882,,Chinese Exclusion Act,"A United States federal law signed by President Chester A. Arthur on May 6, 1882. It was one of the most significant restrictions on free immigration in US history, prohibiting all immigration of Chinese laborers.",http://en.wikipedia.org/wiki/Chinese_Exclusion_Act,US Law,China,
1883,,Immigration Act,"Arriving immigrants were screened for the first time under this act, and entry by anyone deemed a ""convict, lunatic, idiot, or person unable to take care of himself or herself without becoming a public charge"" was prohibited.",http://www.migrationpolicy.org/article/immigration-united-states-new-economic-social-political-landscapes-legislative-reform,US Law,All,
1884,,Russia's May Laws,Russia’s May Laws severely restrict the ability of Jewish citizens to live and work in Russia. The country’s instability prompts more than three million Russians to immigrate to the United States over three decades.,,Russian Law,,
1892,,Ellis Island opens,"From 1892 to 1954, over twelve million immigrants entered the United States through the portal of Ellis Island, a small island in New York Harbor. Ellis Island is located in the upper bay just off the New Jersey coast, within the shadow of the Statue of Liberty.",http://www.ellisisland.org/genealogy/ellis_island_history.asp,Event,All,
1896,,Yukon Gold Rush,"The Yukon Gold Rush, also known as the Klondike Gold Rush, was a migration by an estimated 100,000 prospectors to the Klondike region of the Yukon in north-western Canada between 1896 and 1899. Gold was discovered there on August 16, 1896 and, when news reached Seattle and San Francisco the following year, it triggered a stampede of prospectors",http://en.wikipedia.org/wiki/Yukon_Gold_Rush#Beginning_of_the_stampede,Economic,All,
1907,,Expatriation Act of 1907,An act of the 59th United States Congress concerning United States nationality law and renunciation of citizenship. It effectively functioned as Congressional endorsement of the various ad hoc rulings on loss of United States nationality that had been made by the State Department since the passage of the Expatriation Act of 1868.,,US Law,,
1911,,The Dillingham Commission,The Dillingham Commission identifies Mexican laborers as the best solution to the Southwest labor shortage. Mexicans are exempted from immigrant “head taxes” set in 1903 and 1907.        ,,US Law,,
1913,,Alien Land Law,California’s Alien Land Law rules that aliens “ineligible to citizenship” were ineligible to own agricultural property.,,US Law,,
1914,1918,World War I,"Also known as the First World War, was a global war centred in Europe that began on 28 July 1914 and lasted until 11 November 1918. More than 9 million combatants were killed; a casualty rate exacerbated by the belligerents' technological and industrial sophistication, and tactical stalemate.",http://en.wikipedia.org/wiki/World_War_II,War,Austria,
1917,,The 1917 Immigration Act,"Prohibited immigration from a newly drawn ""Asiatic barred zone"" covering British India, most of Southeast Asia, and nearly all of the Middle East. It also expanded inadmissibility grounds to include anarchists, persons previously deported within the past year, and illiterate individuals over the age of 16.",http://www.migrationpolicy.org/article/immigration-united-states-new-economic-social-political-landscapes-legislative-reform,US Law ,"Southeast Asia, British India, Middle East",
1918,,Jones-Shafroth Act,"In 1917, the Jones-Shafroth Act superceeded the Foraker Act, which established Puerto Rico has a terriorty of the US, and granated US citizenship to the people of Puerto-Rico.",http://en.wikipedia.org/wiki/Jones%E2%80%93Shafroth_Act,US Law,Puerto Rico,
1922,,Ozawa v. United States,The Supreme Court rules in Ozawa v. United States that first-generation Japanese are ineligible for citizenship and cannot apply for naturalization.,,US Law,,
1924,,The Immigration and Naturalization Act of 1924 ,"Established the national-origins quota system, which set a ceiling on the number of immigrants that could be admitted to the United States from each country. It strongly favored northern and western European immigration.",http://www.migrationpolicy.org/article/immigration-united-states-new-economic-social-political-landscapes-legislative-reform,US Law,Not Northern/Western Europe,
1929,1939,Mexican Repartriation,"Mass migration of Mexicans, some American Citizens, out of the United States and back to Mexico because of the Great Depression.",http://en.wikipedia.org/wiki/Mexican_Repatriation#Repatriation_efforts,Economic,Mexico,"*Those this is mainly about emigration, the effects on migration it had are comparable. "
1939,1945,World War II,"It was a global war and the most widespread war in history, and directly involved more than 100 million people, from more than 30 different countries. In a state of ""total war"", the major participants threw their entire economic, industrial, and scientific capabilities behind the war effort, erasing the distinction between civilian and military resources.",http://en.wikipedia.org/wiki/World_War_II,War,"Germany, Poland, Japan,",
1940,,Alien Registration Act,"On May 26, 2011, President Barack Obama signed the PATRIOT Sunsets Extension Act of 2011, a four-year extension of three key provisions in the USA PATRIOT Act: roving wiretaps, searches of business records (the ""library records provision""), and conducting surveillance of ""lone wolves""—individuals suspected of terrorist-related activities not linked to terrorist groups",http://www.spartacus.schoolnet.co.uk/USAalien.htm,US Law,Europe/Russia,
1942,,Executive Order 9066,"President Franklin Roosevelt signs Executive Order 9066, authorizing the building of “relocation camps” for Japanese Americans living along the Pacific Coast.",,US Law,,
1943,,The Magnuson Act,"The Magnuson Act of 1943 repeals the Chinese Exclusion Act of 1882, establishes quotas for Chinese immigrants, and makes them eligible for U.S. citizenship.",,US Law,,
1945,,The War Bride Act/G.I. Fiancées Act,"The War Bride Act and the G.I. Fiancées Act allows immigration of foreign-born wives, fiancé(e)s, husbands, and children of U.S. armed forces personnel.",,US Law,,
1947,1964,Bracero program,A series of diplomatic programs where Mexican laborers would work in the US to fill in for the farm laborers serving in the war. ,http://en.wikipedia.org/wiki/Bracero_program,Diplomatic Treaties,Mexico,
1948,,Refugee Policy,"The United States admits persons fleeing persecution in their native lands; allowing 205,000 refugees to enter within two years.",,US Law,,
1952,,McCarran-Walter Act,"The Immigration and Nationality Act of 1952 restricted immigration to the United States. The 1952 Act retained a quota system for nationalities and regions. Eventually, the Act established a preference system which determined which ethnic groups were desirable immigrants and placed great importance on labor qualifications.",http://en.wikipedia.org/wiki/Immigration_and_Nationality_Act_of_1952,US Law,All,
1954,,Refugee Policy Revised,"Congress amends the 1948 refugee policy to allow for the admission of 200,000 more refugees.        ",,,,
1959,,Cuban Revolution,"Fidel Castro’s Cuban revolution prompts mass exodus of more than 200,000 people within three years.",,War,Cuban,
1964,,Civil Rights Act,The Civil Rights Acts ensures voting rights and prohibits housing discrimination.,,US Law,African American,
1961,,Cuban Refugee Program,"The Cuban Refugee Program handles influx of immigrants to Miami with 300,000 immigrants relocated across the U.S. during the next two decades.",,US Law,"Cuban, Puerto Rico",
1965,,Immigration and Nationality Act of 1965,"Abolished the national origins quota system that was American immigration policy since the 1920s, replacing it with a preference system that focused on immigrants' skills and family relationships with citizens or U.S. residents. Numerical restrictions on visas were set at 170,000 per year, with a per-country-of-origin quota, not including immediate relatives of U.S. citizens, nor ""special immigrants.""",http://en.wikipedia.org/wiki/Immigration_and_Nationality_Act_of_1965,US Law,All,
1966,,Cuban Refugee Act,"The Cuban Refugee Act permits more than 400,000 people to enter the United States.",,US Law,"Cuban, Puerto Rico",
1980,, Refugee Act,"A measure that adopted the definition of a refugee in U.S. refugee law with international standards. It established, for the first time, a permanent and systematic procedure for admitting refugees, created a formal refugee resettlement process, and provided a statutory base for asylum for the first time.",http://www.migrationpolicy.org/article/immigration-united-states-new-economic-social-political-landscapes-legislative-reform,US Law,All,
1983,2005,Second Sudanese Civil War,"Nicknamed The Lost Boys of Sudan, over 20,000 boys were displaced and/or orphaned during the Sudanese Civil War. Many relocated to refugee camps outide of Sudan and 4,000 of these were relocated to Atlanta with the help of the Internation Rescue Committee. ",http://www.rescue.org/lost-boys-sudan,War,Sudan/South Sudan,
1986,,Immigration Reform and Control Act of 1986 (IRCA),"Primarily to control illegal immigration into the US, the IRCA allowed illegal immigrants to apply for citizenship if they had lived in the US for at least five years, which granted lawful status to 2.7 million immigrants living in the US. Also, Increased border enforcement designed to prevent the entry of future unauthorized immigrants.",http://www.migrationpolicy.org/article/immigration-united-states-new-economic-social-political-landscapes-legislative-reform,US Law,All,
1990,,Immigration Act of 1990,"After it became law, the United States would admit 700,000 new immigrants annually, up from 500,000 before the bill's passage. The new system continued to favor people with family members that already worked in the United States, but added 50,000 ""diversity visas"" for countries from which few were emigrating, as well as 40,000 permanent job-related workers and 65,000 temporary worker visas.",http://en.wikipedia.org/wiki/Immigration_Act_of_1990,US Law,All,
1992,1995,Bosnian Genecide,The Bosnian Genocide refers to either genocide at Srebrenica and Žepa committed by Bosnian Serb forces in 1995 or the ethnic cleansing campaign throughout areas controlled by the Army of the Republika Srpska that took place during the 1992–1995 Bosnian War.,http://en.wikipedia.org/wiki/Bosnian_Genocide,War,,
1997,,Nicaraguan and Central American Relief Act [NACARA] of 1997,"This is a U.S. law passed in 1997 that provides various forms of immigration benefits and relief from deportation to certain Nicaraguans, Cubans, Salvadorans, Guatemalans, nationals of former Soviet bloc countries and their dependents who had arrived as asylees. As these Central Americans overwhelmed the U.S. asylum program in the mid-1990s, their cases were left for NACARA to address.",http://en.wikipedia.org/wiki/Nicaraguan_Adjustment_and_Central_American_Relief_Act,US Law,"US, Nicaragua, Cuba, El Salvador, Guatemala, former Soviet countries",
2000,,American Competitiveness in the Twenty-First Century Act,"To meet demand for skilled immigrants—especially in science, math, and engineering specialties—and enable employers to fill technology jobs that are a critical dimension of the post-industrial, information age economy. The act raised the annual number of H-1B visas given to high-skilled workers in specialty occupations to 115,000 in fiscal year (FY) 2000, then to 195,000 for FY 2001, 2002, and 2003. ",http://www.migrationpolicy.org/article/immigration-united-states-new-economic-social-political-landscapes-legislative-reform,US Law,All,
2001,,US Patriot Act,"The USA PATRIOT Act is an Act of Congress that was signed into law by President George W. Bush on October 26, 2001. The title of the act is a ten-letter backronym (USA PATRIOT) that stands for Uniting and Strengthening America by Providing Appropriate Tools Required to Intercept and Obstruct Terrorism Act of 2001. ",http://en.wikipedia.org/wiki/US_Patriot_Act,US Law,All,
2001,,September 11th Attack,"A series of four coordinated terrorist attacks launched by the Islamic terrorist group al-Qaeda upon the United States in New York City and the Washington, D.C. metropolitan area on Tuesday, September 11, 2001.",http://en.wikipedia.org/wiki/9/11,War,,
